[-6.128521  5.376822] 
[-6.2315874  5.4979906] 
[-5.9133353  5.2631855] 
[-4.3393426  3.9039862] 
[-6.2300663  5.4693775] 
[-5.461407  4.861856] 
[-5.143844   4.5726337] 
[-6.298293   5.5335298] 
[-4.2236733  3.7957652] 
[-6.272188   5.5175257] 
[-4.8117433  4.293976 ] 
[-6.244956  5.51927 ] 
[-4.7417707  4.2306356] 
[-6.054625  5.398547] 
[-5.2201557  4.641442 ] 
[-5.9717526  5.334287 ] 
[-3.9490473  3.5593839] 
[-5.1686673  4.6426225] 
[ 1.2137256 -0.9860611] 
[-3.9828541  3.5695398] 
[-4.1625876  3.7350874] 
[-5.8009944  5.1945825] 
[-6.105742  5.401716] 
[-6.1070504  5.3625546] 
[-5.8113327  5.1790166] 
[-5.990271   5.2907977] 
[-5.2250304  4.6634417] 
[-5.399525  4.802669] 
[-6.0906777  5.380724 ] 
[-5.2980394  4.732021 ] 
[-5.14178    4.6168594] 
[-5.2779593  4.746594 ] 
[-5.3834996  4.8312354] 
[-5.068471   4.5429482] 
[-5.08815    4.5652814] 
[-4.993013  4.476934] 
[-0.9385581  0.7910111] 
[-3.4997084  3.0831892] 
[-3.4014168  2.9918256] 
[-5.4839554  4.9155006] 
[-4.9998713  4.477303 ] 
[-5.5443    4.956081] 
[-5.306165   4.7454553] 
[-4.978166  4.453887] 
[-4.9782333  4.4500737] 
[-4.4904413  3.991699 ] 
[-5.60291   4.968666] 
[-5.402114  4.787482] 
[-5.83269    5.1554184] 
[-5.4472117  4.8241096] 
[-4.976554  4.39615 ] 
[-4.9880023  4.416687 ] 
[-4.931027   4.3673134] 
[-4.5222087  4.0221796] 
[-4.3694696  3.8822238] 
[-4.5425787  4.0275235] 
[-6.3004847  5.525308 ] 
[-6.000649   5.3425426] 
[-5.855784   5.1871133] 
[-4.729532   4.1736493] 
[-4.750245   4.1926923] 
[-5.0138803  4.4544992] 
[-5.6233034  5.009708 ] 
[-4.694031   4.1354203] 
[-4.3044696  3.8301253] 
[-4.2859106  3.8015215] 
[-5.8141656  5.090503 ] 
[-4.0832024  3.6854787] 
[-4.1701126  3.757937 ] 
[-4.288148  3.856158] 
[-5.33109    4.7795076] 
[-4.1172476  3.658694 ] 
[-4.968207   4.4135556] 
[ 0.5431192  -0.45646474] 
[ 2.4643931 -1.956954 ] 
[-4.692923   4.1479764] 
[-4.1557164  3.7300942] 
[-5.194372  4.647708] 
[-4.0921683  3.668535 ] 
[-4.359746   3.9479687] 
[-5.0104284  4.4662337] 
[-5.461407  4.861856] 
[ 0.41343218 -0.459348  ] 
[-5.1451955  4.596981 ] 
[ 4.5991573 -3.8216174] 
[-5.3242264  4.691884 ] 
[-4.559086   4.0342503] 
[-5.4833193  4.8373075] 
[-6.3559093  5.534784 ] 
[-4.259101   3.8055184] 
[-5.930815   5.2391367] 
[-6.029955   5.3652973] 
[-3.3974745  2.981375 ] 
[-3.9672053  3.5865548] 
[ 4.299704  -3.5498052] 
[-6.29556    5.5339212] 
[-6.126798   5.4242606] 
[-5.3737698  4.8401804] 
[-5.91744    5.2587605] 
[-4.3260756  3.8187478] 
[-4.2347894  3.8261254] 
[-5.31308    4.7721124] 
[-5.312078   4.7352424] 
[-6.105742  5.401716] 
[-6.0906777  5.380724 ] 
[-4.080074   3.6447415] 
[-4.3716364  3.8818507] 
[-4.3467555  3.853994 ] 
[-4.6304574  4.1213756] 
[-6.092812  5.431396] 
[-5.9107847  5.2952523] 
[-6.2890487  5.5176916] 
[-6.050204   5.3892546] 
[-4.783457   4.2908416] 
[-5.3231955  4.743966 ] 
[ 4.6652837 -3.7309048] 
[-4.483112  4.030183] 
[-5.5442896  4.938067 ] 
[-4.7041655  4.1866355] 
[-5.08815    4.5652814] 
[-5.993202  5.328123] 
[-4.9782333  4.4500737] 
[-4.4881444  4.0095687] 
[-5.1129766  4.5359354] 
[-4.1074195  3.622083 ] 
[-5.911478   5.2765822] 
[ 0.04095361 -0.15757374] 
[-4.7660184  4.2670264] 
[-5.705978   5.0885863] 
[-5.937762   5.3278008] 
[-4.8478084  4.361187 ] 
[-4.937309   4.3841004] 
[-5.273259  4.766168] 
[ 2.8741806 -2.3367403] 
[-4.7200894  4.231917 ] 
[-5.144304   4.6088185] 
[-5.686801   5.0867662] 
[ 1.1618062  -0.96443576] 
[-4.5378857  4.049102 ] 
[-6.3841453  5.45455  ] 
[-4.7298326  4.1897593] 
[-5.737771   5.1040545] 
[-5.8110986  5.143646 ] 
[-5.6294417  4.9412503] 
[-4.9587793  4.400428 ] 
[-4.953991  4.396079] 
[-3.981879   3.5797067] 
[-5.050787  4.431448] 
[-5.939981   5.3116145] 
[-6.0779037  5.3968143] 
[-6.257769   5.5062037] 
[ 0.1441697  -0.16549772] 
[-5.090594   4.4965787] 
[-4.3607025  3.896058 ] 
[-5.15063   4.597825] 
[-4.964064  4.414669] 
[-4.3320236  3.895716 ] 
[-5.183805   4.6258187] 
[-4.45845    3.9648573] 
[-6.340617   5.5276294] 
[-2.1408756  1.7475758] 
[-5.6329775  5.048794 ] 
[-5.6329775  5.048794 ] 
[-3.6428666  3.275201 ] 
[-5.3559394  4.761858 ] 
[-6.2907734  5.543713 ] 
[-5.831219  5.184507] 
[-3.9678671  3.5437574] 
[-4.706412  4.235209] 
[-5.178538  4.599075] 
[-5.8617296  5.2375383] 
[-3.9008818  3.4733956] 
[ 5.594251  -4.9436603] 
[-3.9768648  3.5707679] 
[-5.585126  5.006095] 
[-4.4906516  3.9954305] 
[-6.0141125  5.365639 ] 
[-3.848856   3.4313736] 
[-6.3358064  5.538966 ] 
[-4.988203   4.4607244] 
[-4.8045063  4.2683983] 
[ 3.898297  -3.1741347] 
[-6.0291557  5.343748 ] 
[-5.5407686  4.984117 ] 
[-6.3050847  5.457871 ] 
[-4.5965695  4.072471 ] 
[ 5.452801 -4.758203] 
[-3.502732   3.0819314] 
[ 5.207819 -4.52248 ] 
[ 5.83664   -5.0878215] 
[ 5.309739  -4.6686573] 
[ 5.4962606 -4.8271995] 
[ 5.035609  -4.2648516] 
[ 5.022122  -4.3342557] 
[ 3.7159152 -3.2431006] 
[ 1.3410937 -1.1357214] 
[ 4.0703845 -3.2399676] 
